English ,Pashto ,Romanized
Hello ,سلام ,Salaam
Peace be upon you ,السلام علیکم ,Assalamu Alaikum
May you not be tired ,ستړي مشي ,Stary mashe
How are you? ,ته څنګه یې؟ ,Tah sanga yee?
I am fine, thank you ,زه ښه یم، مننه ,Za kha yam, manana
What is your name? ,ستا نوم څه دی؟ ,Sta noom sa de?
My name is Khan ,زما نوم خان دی ,Zama noom Khan de
Nice to meet you ,په لیدو دې خوښ شوم ,Pa lido de khwash shum
Where are you from? ,ته د کوم ځای یې؟ ,Tah da kum dzay yee?
I am from Afghanistan ,زه د افغانستان یم ,Za da Afghanistan yam
I am from Pakistan ,زه د پاکستان یم ,Za da Pakistan yam
How is your health? ,صحت دې څنګه دی؟ ,Sehat de sanga de?
Everything is good ,ټول ښه دي ,Tool kha dee
Welcome ,هر کله راشې ,Har kala rasha
Good morning ,سهار په خیر ,Sahar pa khair
Good afternoon ,غرمه په خیر ,Gharama pa khair
Good evening ,ماښام په خیر ,Maakham pa khair
Good night ,شپه په خیر ,Shpa pa khair
Goodbye ,د خدای په امان ,Da khoday pa aman
Please ,لطفاً ,Lotfan
Thank you very much ,ډېره مننه ,Deera manana
You are welcome ,ته ګوره نشته ,Teh gabarah nada
Excuse me / Sorry ,بښنه غواړم ,Bakhana ghwarum
Yes ,هو ,Ho
No ,نه ,Na
Okay ,ښه ,Kha
I don't know ,زه نه پوهېږم ,Za na poheegum
I understand ,زه پوه شوم ,Za poh shum
Do you speak English? ,ایا ته په انګلیسي خبرې کولای شې؟ ,Aya ta pa anglisi khabare kawalay she?
I speak a little Pashto ,زه لږ لږ پښتو وایم ,Za leg leg Pashto wayam
Speak slowly ,کرار خبرې کوه ,Karar khabare kawa
Repeat it please ,هیله ده بیا یې ووایه ,Heela da bia ye wowaya
What is this? ,دا څه دي؟ ,Da sa dee?
Where is the bathroom? ,تشناب چیرته دی؟ ,Tashnab cherta de?
Where is the market? ,بازار چیرته دی؟ ,Bazar cherta de?
I am lost ,زه ورک شوی یم ,Za wrak shaway yam
Can you help me? ,ایا ته زما مرسته کولای شې؟ ,Aya ta zama mrasta kawalay she?
I am hungry ,زه وږی یم ,Za wagay yam
I am thirsty ,زه تږی یم ,Za tagay yam
I want water ,زه اوبه غواړم ,Za uba ghwarum
The food was delicious ,ډوډۍ ډېره خوندوره وه ,Dodai deera khwandawara wa
How much does this cost? ,دا په څو دی؟ ,Da pa so de?
It is too expensive ,دا ډېر قېمت دی ,Da deer qemat de
Do you have bread? ,ایا ته ډوډۍ لرې؟ ,Aya ta dodai lare?
I need a doctor ,زه ډاکټر ته اړتیا لرم ,Za daktar ta ahtya laram
I am sick ,زه ناروغه یم ,Za narogha yam
